t,T
776,88
778,88
780,83
782,83
784,81
786,81
788,81
790,78
792,78
794,76
796,76
798,76
800,73
802,73
804,73
806,73
808,73
810,72
812,72
814,72
816,72
818,72
820,72
822,72
824,72
826,72
828,72
830,72
832,72
834,72
836,71
838,71
840,71
842,71
844,70
846,70
848,70
850,70
852,69
854,69
856,69
858,69
860,69
862,69
864,69
866,69
868,69
870,69
872,69
874,69
876,69
878,68
880,68
882,68
884,68
886,68
888,68
890,68
892,68
894,68
896,68
898,68
900,68
902,67
904,67
906,67
908,67
910,67
912,67
914,67
916,67
918,67
920,67
922,67
924,67
926,67
928,67
930,67
932,67
934,67
936,67
938,67
940,67
942,67
944,67
946,67
948,67
950,67
952,67
954,67
956,67
958,67
960,67
962,67
964,67
966,67
968,67
970,67
972,67
974,67
976,67
978,67
980,67
982,67
984,67
986,67
988,67
990,67
992,66
994,66
996,66
998,66
1000,66
1002,65
1004,65
1006,65
1008,65
1010,65
1012,65
1014,64
1016,64
1018,64
1020,64
1022,64
1024,63
1026,63
1028,63
1030,61
1032,60
1034,60
1036,60
1038,60
1040,60
1042,59
1044,59
1046,59
1048,59
1050,59
1052,59
1054,59
1056,59
1058,59
1060,59
1062,59
1064,59
1066,59
1068,58
1070,58
1072,58
1074,58
1076,58
1078,58
1080,58
1082,58
1084,58
1086,58
1088,58
1090,58
1092,58
1094,58
1096,58
1098,58
1100,58
1102,58
1104,58
1106,58
1108,58
1110,58
1112,58
1114,58
1116,58
1118,58
1120,58
1122,58
1124,58
1126,58
1128,58
1130,58
1132,58
1134,58
1136,58
1138,58
1140,58
1142,58
1144,58
1146,58
1148,58
1150,58
1152,58
1154,58
1156,58
1158,58
1160,58
1162,58
1164,58
1166,58
1168,58
1170,58
1172,58
1174,58
1176,58
1178,58
1180,58
1182,57
1184,57
1186,57
1188,57
1190,57
1192,57
1194,57
1196,57
1198,57
1200,57
1202,57
1204,57
1206,57
1208,57
1210,57
1212,57
1214,57
1216,57
1218,57
1220,56
1222,56
1224,56
1226,56
1228,56
1230,56
1232,56
1234,56
1236,56
1238,56
1240,56
1242,56
1244,55
1246,55
1248,55
1250,55
1252,55
1254,55
1256,55
1258,55
1260,55
1262,55
1264,55
1266,55
1268,55
1270,55
1272,55
1274,55
1276,55
1278,55
1280,55
1282,55
1284,55
1286,55
1288,55
1290,55
1292,55
1294,55
1296,55
1298,55
1300,55
1302,55
1304,54
1306,54
1308,54
1310,54
1312,54
1314,54
1316,54
1318,54
1320,54
1322,54
1324,54
1326,54
1328,54
1330,54
1332,54
1334,54
1336,54
1338,54
1340,54
1342,54
1344,54
1346,53
1348,53
1350,53
1352,53
1354,53
1356,53
1358,53
1360,53
1362,53
1364,53
1366,53
1368,53
1370,53
1372,53
1374,53
1376,53
1378,52
1380,52
1382,52
1384,52
1386,52
1388,52
1390,52
1392,52
1394,52
1396,52
1398,52
1400,52
1402,52
1404,52
1406,52
1408,52
1410,52
1412,52
1414,51
1416,51
1418,51
1420,51
1422,51
1424,51
1426,51
1428,51
1430,51
1432,51
1434,51
1436,51
1438,51
1440,50
1442,50
1444,50
1446,50
1448,50
1450,50
1452,50
1454,50
1456,50
1458,50
1460,50
1462,50
1464,50
1466,50
1468,50
1470,50
1472,49
1474,48
1476,48
1478,48
1480,48
1482,48
1484,48
1486,48
1488,48
1490,48
1492,48
1494,47
1496,47
1498,47
1500,47
1502,47
1504,47
1506,47
1508,47
1510,47
1512,47
1514,47
1516,47
1518,47
1520,46
1522,46
1524,46
1526,46
1528,46
1530,46
1532,46
1534,46
1536,46
1538,46
1540,46
1542,46
1544,46
1546,46
1548,46
1550,46
1552,46
1554,46
1556,46
1558,46
1560,46
1562,45
1564,45
1566,45
1568,45
1570,45
1572,45
1574,45
1576,45
1578,45
1580,45
1582,45
1584,45
1586,45
1588,45
1590,45
1592,45
1594,45
1596,45
1598,45
1600,45
1602,45
1604,45
1606,45
1608,45
1610,45
1612,45
1614,45
1616,45
1618,45
1620,45
1622,45
1624,45
1626,45
1628,45
1630,45
1632,45
1634,45
1636,45
1638,45
1640,45
1642,44
1644,44
1646,44
1648,44
1650,44
1652,44
1654,44
1656,44
1658,44
1660,44
1662,44
1664,44
1666,44
1668,44
1670,44
1672,44
1674,44
1676,44
1678,44
1680,44
1682,44
1684,44
1686,44
1688,43
1690,43
1692,43
1694,43
1696,43
1698,43
1700,43
1702,43
1704,43
1706,43
1708,43
1710,43
1712,43
1714,43
1716,43
1718,43
1720,43
1722,43
1724,43
1726,43
1728,43
1730,43
1732,43
1734,43
1736,43
1738,43
1740,43
1742,43
1744,43
1746,43
1748,43
1750,43
1752,43
1754,43
1756,43
1758,43
1760,43
1762,43
1764,43
1766,43
1768,43
1770,43
1772,43
1774,43
1776,43
1778,43
1780,43
1782,43
1784,43
1786,43
1788,43
1790,43
1792,43
1794,43
1796,43
1798,43
1800,43
1802,43
1804,43
1806,43
1808,43
1810,43
1812,43
1814,43
1816,43
1818,43
1820,43
1822,43
1824,43
1826,43
1828,43
1830,43
1832,43
1834,43
1836,43
1838,43
1840,43
1842,43
1844,43
1846,43
1848,43
1850,43
1852,43
1854,43
1856,43
1858,43
1860,43
1862,43
1864,43
1866,43
1868,43
1870,43
1872,43
1874,43
1876,43
1878,43
1880,43
1882,43
1884,43
1886,43
1888,43
1890,43
1892,43
1894,43
1896,43
1898,43
1900,43
1902,43
1904,43
1906,43
1908,43
1910,43
1912,43
1914,42
1916,42
1918,42
1920,42
1922,42
1924,42
1926,42
1928,42
1930,42
1932,42
1934,42
1936,42
1938,42
1940,42
1942,42
1944,42
1946,42
1948,42
1950,42
1952,42
1954,42
1956,42
1958,42
1960,42
1962,42
1964,42
1966,42
1968,41
1970,41
1972,41
1974,41
1976,41
1978,41
1980,41
1982,41
1984,41
1986,41
1988,41
1990,41
1992,41
1994,41
1996,41
1998,41
2000,41
2002,41
2004,41
2006,41
2008,41
2010,41
2012,41
2014,41
2016,41
2018,41
2020,41
2022,41
2024,41
2026,41
2028,41
2030,41
2032,41
2034,41
2036,41
2038,41
2040,41
2042,41
2044,41
2046,41
2048,41
2050,41
2052,41
2054,41
2056,41
2058,40
2060,40
2062,40
2064,40
2066,40
2068,40
2070,40
2072,40
2074,40
2076,40
2078,40
2080,40
2082,40
2084,40
2086,40
2088,40
2090,40
2092,40
2094,40
2096,40
2098,40
2100,40
2102,40
2104,40
2106,40
2108,40
2110,40
2112,40
2114,40
2116,40
2118,40
2120,40
2122,40
2124,40
2126,40
2128,40
2130,40
2132,40
2134,40
2136,40
2138,40
2140,40
2142,40
2144,40
2146,40
2148,40
2150,39
2152,39
2154,39
2156,39
2158,39
2160,39
2162,39
2164,39
2166,39
2168,39
2170,39
2172,39
2174,39
2176,39
2178,39
2180,39
2182,39
2184,39
2186,39
2188,39
2190,39
2192,39
2194,39
2196,39
2198,39
2200,39
2202,39
2204,39
2206,39
2208,39
2210,39
2212,39
2214,39
2216,39
2218,39
2220,39
2222,39
2224,39
2226,39
2228,39
2230,39
2232,39
2234,39
2236,39
2238,39
2240,39
2242,39
2244,39
2246,39
2247,39
2248,39
2249,39
2250,39
2252,39
2254,39
2256,39
2258,39
2260,38
2262,38
2264,38
2266,38
2267,38
2270,38
2272,38
2274,38
2276,38
2278,38
2280,38
2282,38
2284,38
2286,38
2288,38
2290,38
2292,38
2294,38
2296,38
2298,38
2300,38
2302,38
2304,38
2306,38
2308,38
2310,38
2312,38
2314,38
2316,38
2318,38
2320,38
2322,38
2324,38
2326,38
2328,38
2330,38
2332,38
2334,38
2336,38
2338,38
2340,38
2342,38
2344,38
2346,38
2348,38
2350,38
2352,38
2354,38
2356,38
2358,37
2360,37
2362,37
2364,37
2366,37
2368,37
2370,37
2372,37
2374,37
2376,37
2378,37
2380,37
2382,37
2384,37
2386,37
2388,37
2390,37
2392,37
2394,37
2396,37
2398,37
2400,37
2402,37
2404,37
2406,37
2408,37
2410,37
2412,37
2414,37
2416,37
2418,37
2420,36
2422,36
2424,36
2426,36
2428,36
2430,36
2432,36
2434,36
2436,36
2438,36
2440,36
2442,36
2444,36
2446,36
2448,36
2450,36
2452,36
2454,36
2456,36
2458,36
2460,36
2462,36
2464,36
2466,36
2468,36
2470,36
2472,36
2474,36
2476,36
2478,36
2480,36
2482,36
2484,36
2486,36
2488,36
2490,36
2492,36
2494,36
2496,36
2498,36
2500,36
2502,36
2504,36
2506,36
2508,36
2510,36
2512,36
2514,36
2516,36
2518,36
2520,36
2522,36
2524,36
2526,36
2528,36
2530,36
2532,36
2534,36
2536,36
2538,36
2540,36
2542,36
2544,36
2546,36
2548,36
2550,36
2552,36
2554,36
2556,36
2558,36
2560,36
2562,36
2564,36
2566,35
