t,T
888,77
890,77
892,76
894,76
896,76
898,76
900,75
902,75
904,75
906,75
908,75
910,75
912,75
914,74
916,74
918,74
920,74
922,74
924,73
926,73
928,73
930,73
932,72
934,72
936,72
938,72
940,72
942,72
944,72
946,72
948,71
950,71
952,71
954,71
956,71
958,70
960,70
962,70
964,69
966,69
968,69
970,69
972,69
974,69
976,68
978,68
980,68
982,68
984,68
986,68
988,68
990,68
992,67
994,67
996,67
998,67
1000,67
1002,66
1004,66
1006,66
1008,66
1010,66
1012,66
1014,65
1016,65
1018,65
1020,65
1022,65
1024,65
1026,65
1028,64
1030,64
1032,64
1034,64
1036,64
1038,64
1040,63
1042,63
1044,63
1046,63
1048,63
1050,63
1052,62
1054,62
1056,62
1058,62
1060,62
1062,62
1064,62
1066,62
1068,61
1070,61
1072,61
1074,61
1076,61
1078,61
1080,61
1082,60
1084,60
1086,60
1088,60
1090,60
1092,60
1094,59
1096,59
1098,59
1100,59
1102,59
1104,59
1106,59
1108,59
1110,59
1112,58
1114,58
1116,58
1118,58
1120,58
1122,58
1124,58
1126,58
1128,58
1130,57
1132,57
1134,57
1136,57
1138,57
1140,57
1142,57
1144,56
1146,56
1148,56
1150,56
1152,56
1154,56
1156,56
1158,56
1160,56
1162,56
1164,55
1166,55
1168,55
1170,55
1172,55
1174,55
1176,55
1178,55
1180,55
1182,55
1184,55
1186,55
1188,55
1190,54
1192,54
1194,54
1196,54
1198,54
1200,54
1202,54
1204,54
1206,54
1208,53
1210,53
1212,53
1214,53
1216,53
1218,53
1220,53
1222,53
1224,53
1226,53
1228,53
1230,53
1232,52
1234,52
1236,52
1238,52
1240,52
1242,52
1244,52
1246,52
1248,52
1250,52
1252,52
1254,52
1256,51
1258,51
1260,51
1262,51
1264,51
1266,51
1268,51
1270,51
1272,51
1274,51
1276,51
1278,51
1280,50
1282,50
1284,50
1286,50
1288,50
1290,50
1292,50
1294,50
1296,50
1298,50
1300,50
1302,50
1304,50
1306,49
1308,49
1310,49
1312,49
1314,49
1316,49
1318,49
1320,49
1322,49
1324,49
1326,49
1328,49
1330,49
1332,49
1334,48
1336,48
1338,48
1340,48
1342,48
1344,48
1346,48
1348,48
1350,48
1352,48
1354,48
1356,48
1358,48
1360,48
1362,48
1364,48
1366,48
1368,47
1370,47
1372,47
1374,47
1376,47
1378,47
1380,47
1382,47
1384,47
1386,47
1388,47
1390,47
1392,47
1394,47
1396,47
1398,47
1400,46
1402,46
1404,46
1406,46
1408,46
1410,46
1412,46
1414,46
1416,46
1418,46
1420,46
1422,46
1424,46
1426,46
1428,46
1430,46
1432,45
1434,45
1436,45
1438,45
1440,45
1442,45
1444,45
1446,45
1448,45
1450,45
1452,45
1454,45
1456,45
1458,45
1460,45
1462,45
1464,45
1466,45
1468,45
1470,45
1472,44
1474,44
1476,44
1478,44
1480,44
1482,44
1484,44
1486,44
1488,44
1490,44
1492,44
1494,44
1496,44
1498,44
1500,44
1502,44
1504,44
1506,44
1508,44
1510,44
1512,44
1514,43
1516,43
1518,43
1520,43
1522,43
1524,43
1526,43
1528,43
1530,43
1532,43
1534,43
1536,43
1538,43
1540,43
1542,43
1544,43
1546,43
1548,43
1550,43
1552,43
1554,43
1556,43
1558,42
1560,42
1562,42
1564,42
1566,42
1568,42
1570,42
1572,42
1574,42
1576,42
1578,42
1580,42
1582,42
1584,42
1586,42
1588,42
1590,42
1592,42
1594,42
1596,42
1598,42
1600,42
1602,42
1604,42
1606,42
1608,42
1610,42
1612,42
1614,42
1616,41
1618,41
1620,41
1622,41
1624,41
1626,41
1628,41
1630,41
1632,41
1634,41
1636,41
1638,41
1640,41
1642,41
1644,41
1646,41
1648,41
1650,41
1652,41
1654,41
1656,41
1658,41
1660,41
1662,41
1664,41
1666,41
1668,40
1670,40
1672,40
1674,40
1676,40
1678,40
1680,40
1682,40
1684,40
1686,40
1688,40
1690,40
1692,40
1694,40
1696,40
1698,40
1700,40
1702,40
1704,40
1706,40
1708,40
1710,40
1712,40
1714,40
1716,40
1718,39
1720,39
1722,39
1724,39
1726,39
1728,39
1730,39
1732,39
1734,39
1736,39
1738,39
1740,39
1742,39
1744,39
1746,39
1748,39
1750,39
1752,39
1754,39
1756,39
1758,39
1760,39
1762,39
1764,39
1766,39
1768,39
1770,39
1772,39
1774,39
1776,39
1778,38
1780,38
1782,38
1784,38
1786,38
1788,38
1790,38
1792,38
1794,38
1796,38
1798,38
1800,38
1802,38
1804,38
1806,38
1808,38
1810,38
1812,38
1814,38
1816,38
1818,38
1820,38
1822,38
1824,38
1826,38
1828,38
1830,38
1832,38
1834,38
1836,38
1838,38
1840,38
1842,38
1844,38
1846,38
1848,38
1850,38
1852,38
1854,38
1856,38
1858,38
1860,38
1862,38
1864,38
1866,38
1868,38
1870,38
1872,38
1874,38
1876,38
1878,38
1880,38
1882,38
1884,37
1886,37
1888,37
1890,37
1892,37
1894,37
1896,37
1898,37
1900,37
1902,37
1904,37
1906,37
1908,37
1910,37
1912,37
1914,37
1916,37
1918,37
1920,37
1922,37
1924,37
1926,37
1928,37
1930,37
1932,37
1934,37
1936,37
1938,37
1940,37
1942,37
1944,37
1946,37
1948,37
1950,37
1952,37
1954,37
1956,37
1958,37
1960,37
1962,37
1964,36
1966,36
1968,36
1970,36
1972,36
1974,36
1976,36
1978,36
1980,36
1982,36
1984,36
1986,36
1988,36
1990,36
1992,36
1994,36
1996,36
1998,36
2000,36
2002,36
2004,36
2006,36
2008,36
2010,36
2012,36
2014,36
2016,36
2018,36
2020,36
2022,36
2024,36
2026,36
2028,36
2030,36
2032,36
2034,36
2036,36
2038,36
2040,36
2042,36
2044,36
2046,36
2048,36
2050,36
2052,36
2054,36
2056,36
2058,36
2060,36
2062,36
2064,36
2066,36
2068,36
2070,36
2072,36
2074,35
2076,35
2078,35
2080,35
2082,35
2084,35
2086,35
2088,35
2090,35
2092,35
2094,35
2096,35
2098,35
2100,35
2102,35
2104,35
2106,35
2108,35
2110,35
2112,35
2114,35
2116,35
2118,35
2120,35
2122,35
2124,35
2126,35
2128,35
2130,35
2132,35
2134,35
2136,35
2138,35
2140,35
2142,35
2144,35
2146,35
2148,35
2150,35
2152,35
2154,35
2156,35
2158,35
2160,35
2162,35
2164,35
2166,35
2168,35
2170,35
2172,35
2174,35
2176,35
2178,35
2180,35
2182,35
2184,35
2186,35
2188,35
2190,35
2192,35
2194,35
2196,35
2198,35
2200,35
2202,35
2204,35
2206,35
2208,35
2210,35
2212,35
2214,35
2216,35
2218,35
2220,35
2222,35
2224,35
2226,35
2228,35
2230,35
2232,35
2234,35
2236,35
2238,35
2240,35
2242,35
2244,35
2246,34
