t,T
1082,81
1084,81
1086,81
1088,81
1090,81
1092,81
1094,80
1096,80
1098,80
1100,80
1102,80
1104,80
1106,79
1108,79
1110,79
1112,79
1114,79
1116,79
1118,78
1120,78
1122,78
1124,78
1126,78
1128,78
1130,77
1132,77
1134,77
1136,77
1138,77
1140,77
1142,77
1144,76
1146,76
1148,76
1150,76
1152,76
1154,76
1156,75
1158,75
1160,75
1162,75
1164,75
1166,75
1168,75
1170,75
1172,75
1174,75
1176,75
1178,74
1180,74
1182,74
1184,74
1186,74
1188,74
1190,74
1192,74
1194,74
1196,73
1198,73
1200,73
1202,73
1204,73
1206,73
1208,73
1210,73
1212,73
1214,73
1216,72
1218,72
1220,72
1222,72
1224,72
1226,72
1228,71
1230,71
1232,71
1234,71
1236,71
1238,70
1240,70
1242,70
1244,70
1246,70
1248,70
1250,70
1252,70
1254,70
1256,70
1258,70
1260,70
1262,69
1264,69
1266,69
1268,69
1270,69
1272,69
1274,69
1276,69
1278,69
1280,69
1282,68
1284,68
1286,68
1288,68
1290,68
1292,68
1294,68
1296,68
1298,67
1300,67
1302,67
1304,67
1306,67
1308,67
1310,67
1312,66
1314,66
1316,66
1318,66
1320,66
1322,66
1324,66
1326,66
1328,66
1330,66
1332,66
1334,66
1336,66
1338,66
1340,66
1342,66
1344,66
1346,66
1348,66
1350,66
1352,65
1354,65
1356,65
1358,65
1360,65
1362,65
1364,65
1366,65
1368,65
1370,65
1372,65
1374,64
1376,64
1378,64
1380,64
1382,64
1384,64
1386,64
1388,64
1390,64
1392,64
1394,64
1396,64
1398,64
1400,63
1402,63
1404,63
1406,63
1408,63
1410,63
1412,63
1414,63
1416,63
1418,63
1420,63
1422,63
1424,63
1426,63
1428,62
1430,62
1432,62
1434,62
1436,62
1438,62
1440,62
1442,62
1444,62
1446,62
1448,62
1450,62
1452,62
1454,62
1456,62
1458,61
1460,61
1462,61
1464,61
1466,61
1468,61
1470,61
1472,61
1474,61
1476,61
1478,61
1480,61
1482,61
1484,61
1486,60
1488,60
1490,60
1492,60
1494,60
1496,60
1498,60
1500,60
1502,60
1504,60
1506,60
1508,60
1510,59
1512,59
1514,59
1516,59
1518,59
1520,59
1522,59
1524,59
1526,59
1528,59
1530,59
1532,59
1534,59
1536,59
1538,58
1540,58
1542,58
1544,58
1546,58
1548,58
1550,58
1552,58
1554,58
1556,58
1558,58
1560,58
1562,58
1564,58
1566,58
1568,58
1570,58
1572,58
1574,58
1576,57
1578,57
1580,57
1582,57
1584,57
1586,57
1588,57
1590,57
1592,57
1594,57
1596,57
1598,57
1600,57
1602,57
1604,57
1606,57
1608,57
1610,57
1612,57
1614,57
1616,57
1618,56
1620,56
1622,56
1624,56
1626,56
1628,56
1630,56
1632,56
1634,56
1636,56
1638,56
1640,56
1642,56
1644,56
1646,56
1648,56
1650,56
1652,56
1654,56
1656,56
1658,56
1660,56
1662,56
1664,56
1666,56
1668,56
1670,55
1672,55
1674,55
1676,55
1678,55
1680,55
1682,55
1684,55
1686,55
1688,55
1690,55
1692,55
1694,55
1696,55
1698,55
1700,55
1702,55
1704,55
1706,55
1708,55
1710,55
1712,55
1714,55
1716,55
1718,55
1720,55
1722,55
1724,55
1726,55
1728,55
1730,54
1732,54
1734,54
1736,54
1738,54
1740,54
1742,54
1744,54
1746,54
1748,54
1750,54
1752,54
1754,54
1756,54
1758,54
1760,54
1762,54
1764,54
1766,54
1768,54
1770,54
1772,54
1774,54
1776,54
1778,54
1780,54
1782,54
1784,54
1786,54
1788,53
1790,53
1792,53
1794,53
1796,53
1798,53
1800,53
1802,53
1804,53
1806,53
1808,53
1810,53
1812,53
1814,53
1816,53
1818,53
1820,53
1822,53
1824,53
1826,53
1828,53
1830,53
1832,53
1834,53
1836,53
1838,53
1840,53
1842,53
1844,53
1846,53
1848,53
1850,53
1852,53
1854,53
1856,53
1858,53
1860,53
1862,53
1864,53
1866,52
1868,52
1870,52
1872,52
1874,52
1876,52
1878,52
1880,52
1882,52
1884,52
1886,52
1888,52
1890,52
1892,52
1894,52
1896,52
1898,52
1900,52
1902,52
1904,52
1906,52
1908,52
1910,52
1912,52
1914,52
1916,52
1918,52
1920,52
1922,52
1924,52
1926,52
1928,52
1930,52
1932,52
1934,52
1936,52
1938,52
1940,52
1942,52
1944,52
1946,52
1948,52
1950,52
1952,52
1954,52
1956,52
1958,52
1960,52
1962,52
1964,52
1966,52
1968,52
1970,52
1972,52
1974,52
1976,52
1978,52
1980,52
1982,52
1984,52
1986,52
1988,52
1990,52
1992,52
1994,52
1996,52
1998,52
2000,52
2002,52
2004,52
2006,52
2008,52
2010,55
2012,52
2014,52
2016,52
2018,52
2020,52
2022,52
2024,52
2026,52
2028,52
2030,52
2032,52
2034,52
2036,52
2038,52
2040,52
2042,52
2044,51
2046,51
2048,51
2050,51
2052,51
2054,51
2056,51
2058,51
2060,51
2062,51
2064,51
2066,51
2068,51
2070,51
2072,51
2074,51
2076,51
2078,51
2080,51
2082,51
2084,51
2086,51
2088,51
2090,51
2092,51
2094,51
2096,51
2098,51
2100,51
2102,51
2104,51
2106,51
2108,51
2110,51
2112,51
2114,51
2116,51
2118,51
2120,51
2122,51
2124,51
2126,51
2128,51
2130,51
2132,51
2134,51
2136,51
2138,51
2140,51
2142,51
2144,51
2146,51
2148,51
2150,51
2152,51
2154,51
2156,51
2158,51
2160,51
2162,51
2164,51
2166,51
2168,51
2170,51
2172,51
2174,51
2176,51
2178,51
2180,51
2182,51
2184,51
2186,51
2188,51
2190,51
2192,51
2194,51
2196,51
2198,51
2200,51
2202,51
2204,51
2206,51
2208,51
2210,50
2212,50
2214,50
2216,50
2218,50
2220,50
2222,50
2224,50
2226,50
2228,50
2230,50
2232,50
2234,50
2236,50
2238,50
2240,50
2242,50
2244,50
2246,50
2247,50
2248,50
2249,50
2250,50
2252,50
2254,50
2256,50
2258,50
2260,50
2262,50
2264,50
2266,50
2267,50
2270,50
2272,50
2274,50
2276,50
2278,50
2280,50
2282,50
2284,50
2286,50
2288,50
2290,50
2292,50
2294,50
2296,50
2298,50
2300,50
2302,50
2304,50
2306,50
2308,50
2310,50
2312,50
2314,50
2316,50
2318,50
2320,50
2322,50
2324,50
2326,50
2328,50
2330,50
2332,50
2334,50
2336,50
2338,50
2340,50
2342,50
2344,50
2346,50
2348,50
2350,50
2352,50
2354,50
2356,50
2358,50
2360,50
2362,50
2364,50
2366,50
2368,50
2370,50
2372,49
2374,49
2376,49
2378,49
2380,49
2382,49
2384,49
2386,49
2388,48
2390,48
2392,48
2394,48
2396,48
2398,48
2400,48
2402,48
2404,48
2406,48
2408,48
2410,48
2412,48
2414,48
2416,48
2418,48
2420,48
2422,48
2424,48
2426,48
2428,48
2430,48
2432,48
2434,48
2436,48
2438,48
2440,48
2442,48
2444,48
2446,48
2448,48
2450,48
2452,48
2454,48
2456,48
2458,48
2460,48
2462,48
2464,48
2466,48
2468,48
2470,48
2472,48
2474,48
2476,48
2478,48
2480,48
2482,48
2484,48
2486,48
2488,48
2490,48
2492,48
2494,48
2496,48
2498,48
2500,48
2502,48
2504,48
2506,48
2508,48
2510,48
2512,48
2514,48
2516,48
2518,48
2520,48
2522,48
2524,48
2526,48
2528,48
2530,48
2532,48
2534,48
2536,48
2538,48
2540,48
2542,47
2544,47
2546,47
2548,47
2550,47
2552,47
2554,47
2556,47
2558,47
2560,47
2562,47
2564,47
2566,47
2568,47
2570,47
2572,47
2574,47
2576,47
2578,47
2580,47
2582,47
2584,47
2586,47
2588,47
2590,47
2592,47
2594,47
2596,47
2598,47
2600,47
2602,47
2604,47
2606,47
2608,47
2610,47
2612,47
2614,47
2616,47
2618,47
2620,47
2622,47
2624,47
2626,47
2628,47
2630,47
2632,47
2634,47
2636,47
2638,47
2640,47
2642,47
2644,47
2646,47
2648,47
2650,47
2652,47
2654,47
2656,47
2658,47
2660,47
2662,47
2664,47
2666,47
2668,47
2670,47
2672,47
2674,47
2676,47
2678,47
2680,47
2682,47
2684,47
2686,47
2688,47
2690,47
2692,47
2694,47
2696,47
2698,47
2700,47
2702,47
2704,47
2706,47
2708,47
2710,47
2712,47
2714,47
2716,47
2718,47
2720,47
2722,47
2724,47
2726,47
2728,47
2730,47
2732,47
2734,47
2736,47
2738,47
2740,47
2742,47
2744,47
2746,47
2748,47
2750,47
2752,47
2754,47
2756,47
2758,46
2760,46
2762,46
2764,46
2766,46
2768,46
2770,46
2772,46
2774,46
2776,46
2778,46
2780,46
2782,46
2784,46
2786,46
2788,46
2790,46
2792,46
2794,46
2796,46
2798,46
2800,46
2802,46
2804,46
2806,46
2808,46
2810,46
2812,46
2814,46
2816,46
2818,46
2820,46
2822,46
2824,46
2826,46
2828,46
2830,46
2832,46
2834,46
2836,46
2838,46
2840,46
2842,46
2844,46
2846,46
2848,46
2850,46
2852,46
2854,46
2856,46
2858,46
2860,46
2862,46
2864,46
2866,46
2868,46
2870,46
2872,46
2874,46
2876,46
2878,46
2880,46
2882,46
2884,46
2886,46
2890,46
2892,46
2894,46
2896,46
2898,46
2900,46
2902,46
2904,46
2906,46
2908,46
2910,46
2912,46
2914,46
2916,46
2920,46
2922,46
2924,46
2926,46
2928,46
2930,46
2932,46
2934,46
2936,46
2938,46
2940,46
2942,46
2944,46
2946,46
2948,46
2950,46
2952,45
2954,45
2956,45
2958,45
2960,45
2962,45
2964,45
2966,45
2968,45
2970,45
2972,45
2974,45
2976,45
2978,45
2980,45
2982,45
2984,45
2986,45
2988,45
2990,45
2992,45
2994,45
2996,45
2998,45
3000,45
3002,45
3004,45
3006,45
3008,45
3010,45
3012,45
3014,45
3016,45
3018,45
3020,45
3022,45
3024,45
3026,44
3028,44
3030,44
3032,44
3034,44
3036,44
3038,44
3040,44
3042,44
3044,44
3046,44
3048,44
3050,44
3052,44
3054,44
3056,44
3058,44
3060,44
3062,44
3064,44
3066,44
3068,44
3070,44
3072,44
3074,44
3076,44
3078,43
3080,43
3082,43
3084,43
3086,43
3088,43
3090,43
3092,43
3094,43
3096,43
3098,43
3100,43
3102,43
3104,43
3106,43
3108,43
3110,43
3112,43
3114,43
3116,43
3118,43
3120,43
3122,43
3124,43
3126,43
3128,43
3130,43
3132,43
3134,43
3136,43
3138,43
3140,43
3142,43
3144,43
3146,43
3148,43
3150,43
3152,43
3154,43
3156,43
3158,43
3160,43
3162,43
3164,43
3166,43
3168,43
3170,42
3172,42
3174,42
3176,42
3178,42
3180,42
3182,42
3184,42
3186,42
3188,42
3190,42
3192,42
3194,42
3196,42
3198,42
3200,42
3202,42
3204,42
3206,42
3208,42
3210,42
3212,42
3214,42
3216,42
3218,42
3220,42
3222,42
3224,42
3226,42
3228,42
3230,42
3232,42
3234,42
3236,42
3238,42
3240,42
3242,42
3244,42
3246,42
3248,42
3250,42
3252,42
3254,42
3256,42
3258,42
3260,42
3262,42
3264,42
3266,42
3268,42
3270,42
3272,42
3274,42
3276,42
3278,42
3280,42
3282,42
3284,42
3286,42
3288,42
3290,42
3292,42
3294,42
3296,42
3298,42
3300,42
3302,42
3304,42
3306,42
3308,42
3310,42
3312,42
3314,41
3316,41
3318,41
3320,41
3322,41
3324,41
3326,41
3328,41
3330,41
3332,41
3334,41
3336,41
3338,41
3340,41
3342,41
3344,41
3346,41
3348,41
3350,41
3352,41
3354,41
3356,40
3358,40
3360,40
3362,40
3364,40
3366,40
3368,40
3370,40
3372,40
3374,40
3376,40
3378,40
3380,40
3382,40
3384,40
3386,40
3388,40
3390,40
3392,40
3394,40
3396,40
3398,40
3400,40
3402,40
3404,40
3406,40
3408,40
3410,40
3412,40
3414,40
3416,40
3418,40
3420,40
3422,40
3424,40
3426,40
3428,40
3430,40
3432,40
3434,37
3436,37
3442,37
3444,37
3446,37
3448,37
3450,37
3452,37
3454,37
3456,37
3458,37
3460,37
3462,37
3464,37
3466,37
3468,37
3470,37
3472,37
3474,37
3476,36
3478,36
3480,36
3482,36
3484,36
3486,36
3488,36
3490,36
3492,36
3494,36
3496,36
3498,36
3500,36
3502,36
3504,36
3506,36
3508,36
3510,36
3512,36
3514,36
3516,36
3518,36
3520,36
3522,36
3524,36
3526,36
3528,36
3530,35
